"Numbers"|"ID"|"Handle"|"Image Src"|"status"|"text"
"55"|"8910401044782"|"louis-vuitton-fw21-logo-1a9fq1"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/main-square_540x_fcd0c84c-b55a-491d-906f-0e86d74daaf4.jpg?v=1721268512"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '281'}"
"56"|"8910401044782"|"louis-vuitton-fw21-logo-1a9fq1"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/1_540x_0b32290b-76f9-4fa2-867a-5d8099972997.jpg?v=1721268512"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '484'}"
"57"|"8910401044782"|"louis-vuitton-fw21-logo-1a9fq1"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/2_540x_1483fd65-0e35-40f8-9390-d183b3bd4b94.jpg?v=1721268512"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '250'}"
"58"|"8910401044782"|"louis-vuitton-fw21-logo-1a9fq1"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/3_540x_af88ab7e-c982-41ab-b0e9-96e329d79a70.jpg?v=1721268512"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '500'}"
"59"|"8910403764526"|"louis-vuitton-lv-tee-1a7qi"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/main-square_540x_ef3bc6d3-a3ee-4a96-90de-2a8cfb7cc42c.jpg?v=1724052627"|""|""
"55"|"8910401044782"|"louis-vuitton-fw21-logo-1a9fq1"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/main-square_540x_fcd0c84c-b55a-491d-906f-0e86d74daaf4.jpg?v=1721268512"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '515'}"
"56"|"8910401044782"|"louis-vuitton-fw21-logo-1a9fq1"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/1_540x_0b32290b-76f9-4fa2-867a-5d8099972997.jpg?v=1721268512"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '453'}"
"57"|"8910401044782"|"louis-vuitton-fw21-logo-1a9fq1"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/2_540x_1483fd65-0e35-40f8-9390-d183b3bd4b94.jpg?v=1721268512"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '437'}"
"58"|"8910401044782"|"louis-vuitton-fw21-logo-1a9fq1"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/3_540x_af88ab7e-c982-41ab-b0e9-96e329d79a70.jpg?v=1721268512"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '515'}"
"59"|"8910403764526"|"louis-vuitton-lv-tee-1a7qi"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/main-square_540x_ef3bc6d3-a3ee-4a96-90de-2a8cfb7cc42c.jpg?v=1724052627"|"200"|""
"60"|"8910403764526"|"louis-vuitton-lv-tee-1a7qi"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/1_540x_48a78fae-e3d5-49de-b987-a6c1c8f5b792.jpg?v=1724052627"|"200"|""
"61"|"8910403764526"|"louis-vuitton-lv-tee-1a7qi"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/2_540x_c9e7f6c4-0619-4140-ad35-d269d8014a5d.jpg?v=1724052627"|"200"|""
"62"|"8910401012014"|"louis-vuitton-fw21-logo-1a8qv7"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/main-square_540x_0bb12376-8eeb-4f9a-8aec-e6b0987ea16d.jpg?v=1721272011"|"200"|""
